Hr,CreateTime
65.0,2023-12-13 18:10:00
67.0,2023-12-13 18:11:00
67.0,2023-12-13 18:12:00
67.0,2023-12-13 18:13:00
67.0,2023-12-13 18:14:00
66.0,2023-12-13 18:15:00
67.0,2023-12-13 18:16:00
67.0,2023-12-13 18:17:00
67.0,2023-12-13 18:18:00
66.0,2023-12-13 18:19:00
64.0,2023-12-13 18:20:00
63.0,2023-12-13 18:21:00
60.0,2023-12-13 18:22:00
68.0,2023-12-13 18:23:00
72.0,2023-12-13 18:24:00
80.0,2023-12-13 18:25:00
78.0,2023-12-13 18:26:00
70.0,2023-12-13 18:27:00
66.0,2023-12-13 18:28:00
64.0,2023-12-13 18:29:00
62.0,2023-12-13 18:30:00
63.0,2023-12-13 18:31:00
70.0,2023-12-13 18:32:00
72.0,2023-12-13 18:33:00
71.0,2023-12-13 18:34:00
73.0,2023-12-13 18:35:00
71.0,2023-12-13 18:36:00
72.0,2023-12-13 18:37:00
73.0,2023-12-13 18:38:00
68.0,2023-12-13 18:39:00
71.0,2023-12-13 18:40:00
74.0,2023-12-13 18:41:00
74.0,2023-12-13 18:42:00
74.0,2023-12-13 18:43:00
74.0,2023-12-13 18:44:00
75.0,2023-12-13 18:45:00
74.0,2023-12-13 18:46:00
73.0,2023-12-13 18:47:00
75.0,2023-12-13 18:48:00
75.0,2023-12-13 18:49:00
74.0,2023-12-13 18:50:00
74.0,2023-12-13 18:51:00
76.0,2023-12-13 18:52:00
76.0,2023-12-13 18:53:00
75.0,2023-12-13 18:54:00
76.0,2023-12-13 18:55:00
75.0,2023-12-13 18:56:00
74.0,2023-12-13 18:57:00
74.0,2023-12-13 18:58:00
76.0,2023-12-13 18:59:00
77.0,2023-12-13 19:00:00
77.0,2023-12-13 19:01:00
75.0,2023-12-13 19:02:00
77.0,2023-12-13 19:03:00
77.0,2023-12-13 19:04:00
77.0,2023-12-13 19:05:00
77.0,2023-12-13 19:06:00
76.0,2023-12-13 19:07:00
74.0,2023-12-13 19:08:00
75.0,2023-12-13 19:09:00
75.0,2023-12-13 19:10:00
72.0,2023-12-13 19:11:00
74.0,2023-12-13 19:12:00
79.0,2023-12-13 19:13:00
84.0,2023-12-13 19:14:00
89.0,2023-12-13 19:15:00
91.0,2023-12-13 19:16:00
91.0,2023-12-13 19:17:00
90.0,2023-12-13 19:18:00
89.0,2023-12-13 19:19:00
89.0,2023-12-13 19:20:00
88.0,2023-12-13 19:21:00
85.0,2023-12-13 19:22:00
84.0,2023-12-13 19:23:00
83.0,2023-12-13 19:24:00
83.0,2023-12-13 19:25:00
72.0,2023-12-13 19:26:00
64.0,2023-12-13 19:27:00
62.0,2023-12-13 19:28:00
60.0,2023-12-13 19:29:00
62.0,2023-12-13 19:30:00
67.0,2023-12-13 19:31:00
73.0,2023-12-13 19:32:00
74.0,2023-12-13 19:33:00
76.0,2023-12-13 19:34:00
72.0,2023-12-13 19:35:00
73.0,2023-12-13 19:36:00
71.0,2023-12-13 19:37:00
68.0,2023-12-13 19:38:00
65.0,2023-12-13 19:39:00
66.0,2023-12-13 19:40:00
62.0,2023-12-13 19:41:00
62.0,2023-12-13 19:42:00
61.0,2023-12-13 19:43:00
61.0,2023-12-13 19:44:00
60.0,2023-12-13 19:45:00
60.0,2023-12-13 19:46:00
58.0,2023-12-13 19:47:00
58.0,2023-12-13 19:48:00
59.0,2023-12-13 19:49:00
65.0,2023-12-13 19:50:00
65.0,2023-12-13 19:51:00
63.0,2023-12-13 19:52:00
62.0,2023-12-13 19:53:00
61.0,2023-12-13 19:54:00
60.0,2023-12-13 19:55:00
61.0,2023-12-13 19:56:00
62.0,2023-12-13 19:57:00
63.0,2023-12-13 19:58:00
64.0,2023-12-13 19:59:00
65.0,2023-12-13 20:00:00
63.0,2023-12-13 20:01:00
63.0,2023-12-13 20:02:00
64.0,2023-12-13 20:03:00
65.0,2023-12-13 20:04:00
71.0,2023-12-13 20:05:00
83.0,2023-12-13 20:06:00
78.0,2023-12-13 20:07:00
82.0,2023-12-13 20:08:00
90.0,2023-12-13 20:09:00
,2023-12-13 20:18:00
,2023-12-13 20:19:00
,2023-12-13 20:20:00
64.0,2023-12-13 20:21:00
64.0,2023-12-13 20:22:00
67.0,2023-12-13 20:23:00
68.0,2023-12-13 20:24:00
71.0,2023-12-13 20:25:00
66.0,2023-12-13 20:26:00
69.0,2023-12-13 20:27:00
70.0,2023-12-13 20:28:00
69.0,2023-12-13 20:29:00
68.0,2023-12-13 20:30:00
67.0,2023-12-13 20:31:00
72.0,2023-12-13 20:32:00
70.0,2023-12-13 20:33:00
67.0,2023-12-13 20:34:00
71.0,2023-12-13 20:35:00
73.0,2023-12-13 20:36:00
71.0,2023-12-13 20:37:00
74.0,2023-12-13 20:38:00
72.0,2023-12-13 20:39:00
68.0,2023-12-13 20:40:00
71.0,2023-12-13 20:41:00
71.0,2023-12-13 20:42:00
74.0,2023-12-13 20:43:00
73.0,2023-12-13 20:44:00
72.0,2023-12-13 20:45:00
75.0,2023-12-13 20:46:00
70.0,2023-12-13 20:47:00
75.0,2023-12-13 20:48:00
71.0,2023-12-13 20:49:00
74.0,2023-12-13 20:50:00
74.0,2023-12-13 20:51:00
74.0,2023-12-13 20:52:00
75.0,2023-12-13 20:53:00
75.0,2023-12-13 20:54:00
75.0,2023-12-13 20:55:00
76.0,2023-12-13 20:56:00
74.0,2023-12-13 20:57:00
75.0,2023-12-13 20:58:00
76.0,2023-12-13 20:59:00
78.0,2023-12-13 21:00:00
74.0,2023-12-13 21:01:00
75.0,2023-12-13 21:02:00
75.0,2023-12-13 21:03:00
74.0,2023-12-13 21:04:00
71.0,2023-12-13 21:05:00
74.0,2023-12-13 21:06:00
76.0,2023-12-13 21:07:00
75.0,2023-12-13 21:08:00
71.0,2023-12-13 21:09:00
70.0,2023-12-13 21:10:00
72.0,2023-12-13 21:11:00
76.0,2023-12-13 21:12:00
74.0,2023-12-13 21:13:00
72.0,2023-12-13 21:14:00
70.0,2023-12-13 21:15:00
76.0,2023-12-13 21:16:00
77.0,2023-12-13 21:17:00
79.0,2023-12-13 21:18:00
71.0,2023-12-13 21:19:00
73.0,2023-12-13 21:20:00
76.0,2023-12-13 21:21:00
74.0,2023-12-13 21:22:00
75.0,2023-12-13 21:23:00
80.0,2023-12-13 21:24:00
83.0,2023-12-13 21:25:00
74.0,2023-12-13 21:26:00
76.0,2023-12-13 21:27:00
76.0,2023-12-13 21:28:00
79.0,2023-12-13 21:29:00
81.0,2023-12-13 21:30:00
81.0,2023-12-13 21:31:00
78.0,2023-12-13 21:32:00
89.0,2023-12-13 21:33:00
79.0,2023-12-13 21:34:00
82.0,2023-12-13 21:35:00
82.0,2023-12-13 21:36:00
80.0,2023-12-13 21:37:00
76.0,2023-12-13 21:38:00
75.0,2023-12-13 21:39:00
78.0,2023-12-13 21:40:00
85.0,2023-12-13 21:41:00
80.0,2023-12-13 21:42:00
86.0,2023-12-13 21:43:00
92.0,2023-12-13 21:44:00
